employee_id,first_name,last_name,ssn,address,city,state,zip,employer_name,employer_ein,employer_address,employer_city,employer_state,employer_zip,box1_wages,box2_federal_tax,box3_ss_wages,box4_ss_tax,box5_medicare_wages,box6_medicare_tax,box12_codes,box13_retirement_plan,box15_state,box16_state_wages,box17_state_tax
EMP0014,Dorothy,King,311-73-3166,6014 Maple St,Tempe,AZ,85161,Summit Consulting Group,38-3945146,9848 Corporate Dr,Tempe,AZ,85013,98429.00,21498.52,105738.00,6555.76,105738.00,1533.20,D:7309.00,X,AZ,98429.00,3973.74
EMP0015,Dorothy,Thomas,315-85-1854,8882 Oak St,Mesa,AZ,85080,Summit Consulting Group,90-0253914,9282 Corporate Dr,Mesa,AZ,85290,86869.00,6215.15,97840.00,6066.08,97840.00,1418.68,D:10971.00,X,AZ,86869.00,3392.52
EMP0016,Melissa,Thompson,842-17-4600,2451 Elm St,Gilbert,AZ,85070,Midwest Manufacturing,15-2374441,3070 Corporate Dr,Gilbert,AZ,85041,101496.00,21650.31,101496.00,6292.75,101496.00,1471.69,,,AZ,101496.00,4005.65
EMP0017,Linda,Gomez,177-57-4358,8517 Elm St,Mesa,AZ,85249,Summit Consulting Group,71-8576025,9306 Corporate Dr,Mesa,AZ,85292,161689.00,34269.54,168600.00,10453.20,182391.00,2644.67,D:20702.00,X,AZ,161689.00,5365.85
EMP0018,Mary,Hill,893-87-9466,7739 Main St,Peoria,AZ,85001,Midwest Manufacturing,66-0127721,2183 Corporate Dr,Peoria,AZ,85128,121147.00,22142.10,131215.00,8135.33,131215.00,1902.62,D:10068.00,X,AZ,121147.00,3303.94
EMP0019,Brian,Lee,815-11-4940,7522 Oak St,Chandler,AZ,85128,Pioneer Financial Services,82-2812635,9475 Corporate Dr,Chandler,AZ,85287,85768.00,9981.49,85768.00,5317.62,85768.00,1243.64,,,AZ,85768.00,2216.51
EMP0020,Michael,Clark,881-62-9393,2927 Oak St,Tempe,AZ,85006,TechCorp Industries,66-6396275,4372 Corporate Dr,Tempe,AZ,85020,70527.00,7192.53,70527.00,4372.67,70527.00,1022.64,,,AZ,70527.00,2780.67
EMP0021,Robert,Scott,913-05-6543,3975 Maple St,Chandler,AZ,85267,Summit Consulting Group,13-3673173,546 Corporate Dr,Chandler,AZ,85150,52672.00,3151.59,52672.00,3265.66,52672.00,763.74,,,AZ,52672.00,1680.24
EMP0022,Joshua,Wilson,153-31-1562,6640 Maple St,Flagstaff,AZ,85167,Valley Medical Group,63-5663436,9815 Corporate Dr,Flagstaff,AZ,85130,182289.00,40169.04,168600.00,10453.20,194207.00,2816.00,D:11918.00,X,AZ,182289.00,7202.02
EMP0023,Joshua,Gonzalez,338-53-5165,5638 Elm St,Flagstaff,AZ,85217,Valley Medical Group,28-6860190,1269 Corporate Dr,Flagstaff,AZ,85131,159619.00,34496.92,168600.00,10453.20,170546.00,2472.92,D:10927.00,X,AZ,159619.00,4457.90
EMP0024,Amanda,Hernandez,556-56-5996,227 Main St,Tempe,AZ,85029,TechCorp Industries,45-3406092,8885 Corporate Dr,Tempe,AZ,85004,73221.00,4471.64,80041.00,4962.54,80041.00,1160.59,D:6820.00,X,AZ,73221.00,2959.39
EMP0025,Deborah,Ramirez,178-72-6767,9816 Cedar St,Chandler,AZ,85054,Pioneer Financial Services,63-5066536,5527 Corporate Dr,Chandler,AZ,85263,138069.00,27776.91,138069.00,8560.28,138069.00,2002.00,,,AZ,138069.00,4973.18
EMP0026,Paul,Nelson,696-52-0752,8292 Maple St,Glendale,AZ,85136,Midwest Manufacturing,89-1691947,8622 Corporate Dr,Glendale,AZ,85205,129610.00,28411.19,129610.00,8035.82,129610.00,1879.35,,,AZ,129610.00,4018.77
EMP0027,Dorothy,Davis,411-26-7975,5880 Elm St,Flagstaff,AZ,85243,TechCorp Industries,95-6532788,3174 Corporate Dr,Flagstaff,AZ,85294,174717.00,37555.68,168600.00,10453.20,195663.00,2837.11,D:20946.00,X,AZ,174717.00,7538.89
EMP0028,William,Rodriguez,331-74-0030,3552 Oak St,Tempe,AZ,85202,TechCorp Industries,45-2380923,6869 Corporate Dr,Tempe,AZ,85152,63243.00,5022.40,65473.00,4059.33,65473.00,949.36,D:2230.00,X,AZ,63243.00,1596.67
EMP0029,Kimberly,White,438-69-8736,2513 Elm St,Scottsdale,AZ,85231,Summit Consulting Group,35-4143170,3810 Corporate Dr,Scottsdale,AZ,85220,103763.00,20542.27,115420.00,7156.04,115420.00,1673.59,D:11657.00,X,AZ,103763.00,3659.02
EMP0030,Thomas,Martin,725-29-9381,7016 Maple St,Chandler,AZ,85235,Desert Tech Solutions,43-4870048,2586 Corporate Dr,Chandler,AZ,85299,42808.00,1613.85,44809.00,2778.16,44809.00,649.73,D:2001.00,X,AZ,42808.00,1662.44
EMP0031,Jennifer,Gonzalez,204-33-4126,6420 Elm St,Peoria,AZ,85055,Midwest Manufacturing,13-4637029,3914 Corporate Dr,Peoria,AZ,85035,165918.00,33421.49,165918.00,10286.92,165918.00,2405.81,,,AZ,165918.00,4640.95
EMP0032,Michelle,Moore,661-15-0596,3164 Elm St,Glendale,AZ,85294,Riverside Healthcare,91-1058489,6569 Corporate Dr,Glendale,AZ,85252,155459.00,32272.58,168600.00,10453.20,177285.00,2570.63,D:21826.00,X,AZ,155459.00,6647.46
EMP0033,Daniel,Torres,188-99-9154,5700 Elm St,Glendale,AZ,85267,Global Solutions LLC,88-7435895,6095 Corporate Dr,Glendale,AZ,85070,119832.00,22627.63,125413.00,7775.61,125413.00,1818.49,D:5581.00,X,AZ,119832.00,5342.05
EMP0034,Anthony,Allen,285-28-3929,6187 Maple St,Scottsdale,AZ,85182,Summit Consulting Group,97-3530996,1701 Corporate Dr,Scottsdale,AZ,85014,152935.00,28853.61,152935.00,9481.97,152935.00,2217.56,,,AZ,152935.00,5627.60
EMP0035,Joshua,Garcia,652-77-9512,2177 Oak St,Phoenix,AZ,85215,Desert Tech Solutions,61-8805228,1276 Corporate Dr,Phoenix,AZ,85183,121412.00,25454.05,121412.00,7527.54,121412.00,1760.47,,,AZ,121412.00,3458.37
EMP0036,Dorothy,Lewis,963-47-1947,1088 Oak St,Mesa,AZ,85148,Midwest Manufacturing,78-0758493,3608 Corporate Dr,Mesa,AZ,85013,184084.00,40903.93,168600.00,10453.20,184084.00,2669.22,,,AZ,184084.00,6099.20
EMP0037,Robert,Garcia,772-46-0292,5986 Elm St,Mesa,AZ,85077,Riverside Healthcare,57-9524566,6758 Corporate Dr,Mesa,AZ,85203,146363.00,27548.26,146363.00,9074.51,146363.00,2122.26,,,AZ,146363.00,5330.12
EMP0038,Donna,White,588-18-3565,7020 Maple St,Peoria,AZ,85219,Pioneer Financial Services,38-8316119,9781 Corporate Dr,Peoria,AZ,85181,106378.00,22193.47,118264.00,7332.37,118264.00,1714.83,D:11886.00,X,AZ,106378.00,3942.04
EMP0039,Thomas,Martin,854-81-2656,1912 Maple St,Flagstaff,AZ,85218,Midwest Manufacturing,98-6529902,3208 Corporate Dr,Flagstaff,AZ,85071,143390.00,27656.09,161052.00,9985.22,161052.00,2335.25,D:17662.00,X,AZ,143390.00,4375.83
EMP0040,Kevin,Johnson,247-19-0582,171 Main St,Flagstaff,AZ,85284,Midwest Manufacturing,23-4889560,2764 Corporate Dr,Flagstaff,AZ,85031,43624.00,4988.95,47966.00,2973.89,47966.00,695.51,D:4342.00,X,AZ,43624.00,1838.47
EMP0041,Christopher,Martin,214-63-3698,3466 Elm St,Tucson,AZ,85209,Pioneer Financial Services,52-8138667,8879 Corporate Dr,Tucson,AZ,85055,127280.00,26738.57,145596.00,9026.95,145596.00,2111.14,D:18316.00,X,AZ,127280.00,3259.87
EMP0042,Mark,Anderson,662-16-6394,3659 Cedar St,Tempe,AZ,85080,TechCorp Industries,96-6803182,1427 Corporate Dr,Tempe,AZ,85209,175707.00,38880.93,168600.00,10453.20,175707.00,2547.75,,,AZ,175707.00,4994.74
EMP0043,George,Roberts,495-10-5526,7711 Main St,Mesa,AZ,85173,Horizon Retail Corp,72-5983857,622 Corporate Dr,Mesa,AZ,85016,162836.00,32885.14,168600.00,10453.20,178051.00,2581.74,D:15215.00,X,AZ,162836.00,5218.30
EMP0044,Michael,Brown,930-46-8066,5215 Oak St,Gilbert,AZ,85224,Global Solutions LLC,83-3712909,7965 Corporate Dr,Gilbert,AZ,85219,85545.00,5788.57,93962.00,5825.64,93962.00,1362.45,D:8417.00,X,AZ,85545.00,2164.72
EMP0045,Kevin,Smith,351-89-7683,4666 Oak St,Mesa,AZ,85010,Summit Consulting Group,56-6363850,5782 Corporate Dr,Mesa,AZ,85145,102189.00,20124.51,102189.00,6335.72,102189.00,1481.74,,,AZ,102189.00,2639.84
EMP0046,Melissa,Taylor,655-03-9918,5641 Maple St,Tucson,AZ,85166,Apex Engineering,81-1420033,2674 Corporate Dr,Tucson,AZ,85243,137227.00,28273.28,151046.00,9364.85,151046.00,2190.17,D:13819.00,X,AZ,137227.00,3464.41
EMP0047,Robert,Johnson,822-28-5688,3010 Cedar St,Tucson,AZ,85231,Valley Medical Group,59-0938048,9178 Corporate Dr,Tucson,AZ,85146,103287.00,21609.78,114808.00,7118.10,114808.00,1664.72,D:11521.00,X,AZ,103287.00,4270.89
EMP0048,Andrew,Flores,136-08-9901,2572 Maple St,Phoenix,AZ,85061,Valley Medical Group,55-8643422,2047 Corporate Dr,Phoenix,AZ,85266,83192.00,7213.85,88981.00,5516.82,88981.00,1290.22,D:5789.00,X,AZ,83192.00,3449.30
EMP0049,Michael,Mitchell,883-72-9256,2329 Cedar St,Glendale,AZ,85106,Riverside Healthcare,23-5878817,9112 Corporate Dr,Glendale,AZ,85158,125472.00,25458.33,143007.00,8866.43,143007.00,2073.60,D:17535.00,X,AZ,125472.00,4914.61
EMP0050,Kimberly,Ramirez,615-59-0418,4065 Cedar St,Peoria,AZ,85106,Global Solutions LLC,18-8990548,4123 Corporate Dr,Peoria,AZ,85144,63367.00,7329.29,72886.00,4518.93,72886.00,1056.85,D:9519.00,X,AZ,63367.00,1822.99
